Codigo;Nome;Tipo;Hora-aula;Carga Horaria Teorica;Carga Horaria Pratica;Carga Horaria de Extenso;Carga Horaria de Atividade No Presencial
GDE135;Didtica;O;4;68;0;0;0
GPE149;Politica e gesto na Educao;O;4;68;0;0;0
GDE101; Filosofia da educao;O;4;68;0;0;0
GCH192;Introduo  Filosofia: Metodologia, planejamento e ensino de Filosofia;O;5;34;0;17;0
GCH199;Introduo  Filosofia: Leitura e anlise de textos Filosficos;O;5;34;0;17;0
GDE204;Histria da educao;O;4;68;0;0;0
GDE120;Psicologia da Educao I;O;4;68;0;0;0
GCHXX;Introduo  Filosofia: Prtica argumentativa e elaborao de textos Filosficos;O;5;34;0;17;0
GCHXX;Ensino de Filosofia Antiga;O;5;34;0;17;0
GCHXX;Histria da Filosofia Antiga;O;5;85;0;0;0
GCH277;Projeto Integrador das Licenciaturas I: Filosofia e Direitos Humanos;O;6;34;0;68;0
GCH104;Sociologia;O;4;68;0;0;0
GCHXX;Ensino de Filosofia Medieval;O;5;34;0;17;0
GCHXX;Histria da Filosofia Medieval;O;5;85;0;0;0
GCHXX;Esttica;O;5;85;0;0;0
GCH269;Filosofia Poltica;O;5;85;0;0;0
GCHXX;Estudos Dirigidos de temas filosficos I;O;5;34;0;17;0
GCHXX;Ensino de Filosofia Moderna;O;5;34;0;17;0
GCHXX;Histria da Filosofia Moderna;O;5;85;0;0;0
GCH268;tica;O;5;85;0;0;0
GCH275;Filosofia e Psicanlise;O;5;85;0;0;0
GCH278;Projeto Integrador das Licenciaturas II: Meio Ambiente e Sustentabilidade;O;6;34;0;68;0
GCHXX;Ensino de Filosofia Contempornea;O;5;34;;17;0
GCHXX;Histria da Filosofia Contempornea;O;5;85;0;0;0
GCHXX;Metodologia de Pesquisa em Filosofia;O;5;34;0;17;0
PRG924;TCC I;O;4;68;0;0;0
PRG124;Estgio I;O;6;0;0;0;0
GCHXXX;Estudos dirigidos de temas filosficos II;O;5;34;0;17;0
GCH276;Epistemologia e Teoria das cincias humanas;O;5;85;0;0;0
GDE124;Lngua brasileira de sinais (libras);O;2;34;0;0;0
PRG1024;TCC II;O;4;68;0;0;0
PRG224;Estgio II;O;6;0;0;0;0
GCH272; Lgica: Histria e Fundamentos;O;5;85;0;0;0
GCH279;Projeto Integrador das Licenciaturas III: Prticas e Metodologias de Ensino e Filosofia;O;6;34;0;68;0
PRG1124;TCC III;O;4;68;0;0;0
PRG324;Estgio III;O;6;0;0;0;0
PRG1224; TCC IV;O;4;68;0;0;0
PRG424; Estgio IV;O;6;0;0;0;0
GCHXX;Tpicos especiais em tica I;E;5;68;0;0;0
GCHXX;Tpicos especiais em tica II;E;3;34;0;0;0
GCHXX;Tpicos especiais em tica III;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Poltica I;E;5;68;0;0;0
GCHXX;Tpicos especiais em Filosofia Poltica II;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Poltica III;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Antiga I;E;5;68;0;0;0
GCHXX;Tpicos especiais em Filosofia Antiga II;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Antiga III;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Medieval I;E;5;68;0;0;0
GCHXX;Tpicos especiais em Filosofia Medieval II;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Medieval III;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Moderna I;E;5;68;0;0;0
GCHXX;Tpicos especiais em Filosofia Moderna II;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Moderna III;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Contemporanea I;E;5;68;0;0;0
GCHXX;Tpicos especiais em Filosofia Contemporanea II;E;3;34;0;0;0
GCHXX;Tpicos especiais em Filosofia Contemporanea III;E;3;34;0;0;0
GCHXX;Tpicos especiais em Esttica I;E;5;68;0;0;0
GCHXX;Tpicos especiais em Esttica II;E;3;34;0;0;0
GCHXX;Tpicos especiais de Filosofia e Psicologia I;E;5;68;0;0;0
GCHXX;Tpicos especiais de Filosofia e Psicologia II;E;3;34;0;0;0
GCHXX;Idealismo Alemo I;E;5;68;0;0;0
GCHXX;Idealismo Alemo II;E;3;34;0;0;0
GCHXX;Filosofia da cincia I;E;5;68;0;0;0
GCHXX;Filosofia da cincia II;E;3;34;0;0;0
GCHXX;Ontologia e Metafsica I;E;5;68;0;0;0
GCHXX;Ontologia e Metafsica II;E;3;34;0;0;0
GCHXX;Tpicos especiais em Lgica I;E;5;68;0;0;0
GCHXX;Tpicos especiais em Lgica II;E;3;34;0;0;0
GCHXX;Temas em Feminismo;E;5;68;0;0;0
GCHXX;Temas em Feminismo II;E;3;34;0;0;0
GDI119;Histria do Direito;E;2;34;0;0;0
GDI166;Legislao e Direito Ambiental;A;4;68;0;0;0
GCH110;Psicologia;A;2;34;0;0;0
GCH190;Teoria do Estado e Cincia Poltica;A;4;68;0;0;0
GDE105;Pesquisa em Educao;A;3;34;17;0;0
GDE125;Cincia, Tecnologia e Sociedade;A;2;34;0;0;0
GDE127; Educao a Distancia;A;4;34;0;0;0
GDE138;Didtica;A;5;34;0;0;0
GDE145;Histria da Educao II;A;4;68;0;0;0
GDE181;Literatura e Linguagem Cultural;A;2;34;0;0;0
GDE187;Educao para as relaes tinico raciais;A;2;34;0;0;0
GDE190;Estudo do trabalho humano;A;2;34;0;0;0
GDE208;Cultura Indigena e Afrobrasileira;A;2;17;0;0;0
GEC109;Ecologia Bsica;A;2;34;0;0;0
GEL105;Literatura Portuguesa I;A;4;68;0;0;0
GEL107;Literatura Brasileira I;A;4;68;0;0;0
GEL108;Literatura Brasileira II;A;4;68;0;0;0
GEL109;Literatura Brasileira III;A;4;68;0;0;0
GEL205;Literatura Afro e Lingua Portuguesa;A;2;34;0;0;0
GEL113;Literatura e outras Linguagens;A;2;34;0;0;0
GEL156;Teoria da Literatura I;A;4;68;0;0;0
GEL157;Teoria da  Literatura II;A;4;68;0;0;0
GEL178 ;Habilidade em Lingua Inglesa;A;2;17;0;0;0
GEL197;Concepo de Linguagem;A;4;68;0;0;0
GEL203 ;Literatura Portuguesa;A;4;68;0;0;0
GMM135;Matemtica discreta;A;4;68;0;0;0
GMM103;Introduo  lgica;A;4;68;0;0;0
